year	Colombo	Gampaha	Kalutara	Kandy	Matale	Nuwara-Eliya	Galle	Matara	Hambantota	Jaffna	Vanni	Batticaloa	Digamadulla	Trincomalee	Kurunegala	Puttalam	Anuradhapura	Polonnaruwa	Badulla	Moneragala	Ratnapura	Kegalle	Sri Lanka
1989	20	17	11	12	5	6	11	9	7	11	5	5	6	4	15	7	8	5	8	5	10	9	29
1994	20	18	10	12	5	8	10	8	7	10	6	5	6	4	15	7	8	5	8	5	10	9	29
2000	20	18	10	12	5	7	10	8	7	9	6	5	7	4	15	8	8	5	8	5	10	9	29
2001	21	18	10	12	5	7	10	8	7	9	6	5	7	4	15	7	8	5	8	5	10	9	29
2004	20	17	10	12	5	7	10	8	7	9	6	5	7	4	16	8	8	5	8	5	10	9	29
2010	19	18	10	12	5	7	10	8	7	9	6	5	7	4	15	8	9	5	8	5	10	9	29
2015	19	18	10	12	5	8	10	8	7	7	6	5	7	4	15	8	9	5	8	5	11	9	29
2020	19	18	10	12	5	8	9	7	7	7	6	5	7	4	15	8	9	5	9	6	11	9	29
